Country or Area,Year(s),lifespan,log-population,GDP 10^-10,log(GDP),population,svg_width
China,2012,79,6.1430148,5385.8,3.731250222,1390000,321
India,2012,77,6.093421685,9944.013104,3.997561688,1240000,319
United States of America,2012,83,5.50242712,1625.397,3.210959454,318000,288
Japan,2012,86,5.103803721,50047.47,4.699382128,127000,267
Germany,2012,84,4.918030337,299.531,2.476441776,82800,257
United Kingdom,2012,84,4.797842064,150.1355,2.176483395,62783,251
Canada,2012,85,4.542053215,182.7201,2.261786324,34838,237
Malaysia,2012,79,4.465977368,97.1252,1.987331926,29240,233
United Arab Emirates,2012,80,3.964070971,137.568419,2.138518746,9206,207
Singapore,2012,85,3.724521627,36.87705,1.566756172,5303,195