Country,Element,Year,Unit,Value,Value Footnotes
India,Gross Production Index Number (2014-2016 = 100),2019,index,114.07,Fc
India,Gross Production Index Number (2014-2016 = 100),2018,index,112.97,Fc
India,Gross Production Index Number (2014-2016 = 100),2017,index,108.39,Fc
India,Gross Production Index Number (2014-2016 = 100),2016,index,102.24,Fc
India,Gross Production Index Number (2014-2016 = 100),2015,index,98.10,Fc
India,Gross Production Index Number (2014-2016 = 100),2014,index,99.66,Fc
India,Gross Production Index Number (2014-2016 = 100),2013,index,97.44,Fc
India,Gross Production Index Number (2014-2016 = 100),2012,index,93.52,Fc
India,Gross Production Index Number (2014-2016 = 100),2011,index,91.77,Fc
India,Gross Production Index Number (2014-2016 = 100),2010,index,86.26,Fc
India,Gross Production Index Number (2014-2016 = 100),2009,index,79.34,Fc
India,Gross Production Index Number (2014-2016 = 100),2008,index,80.84,Fc
India,Gross Production Index Number (2014-2016 = 100),2007,index,79.87,Fc
India,Gross Production Index Number (2014-2016 = 100),2006,index,73.53,Fc
India,Gross Production Index Number (2014-2016 = 100),2005,index,69.67,Fc
India,Gross Production Index Number (2014-2016 = 100),2004,index,66.05,Fc
India,Gross Production Index Number (2014-2016 = 100),2003,index,66.67,Fc
India,Gross Production Index Number (2014-2016 = 100),2002,index,60.26,Fc
India,Gross Production Index Number (2014-2016 = 100),2001,index,65.03,Fc
India,Gross Production Index Number (2014-2016 = 100),2000,index,63.21,Fc
India,Gross Production Index Number (2014-2016 = 100),1999,index,63.90,Fc
India,Gross Production Index Number (2014-2016 = 100),1998,index,61.23,Fc
India,Gross Production Index Number (2014-2016 = 100),1997,index,60.10,Fc
India,Gross Production Index Number (2014-2016 = 100),1996,index,58.84,Fc
India,Gross Production Index Number (2014-2016 = 100),1995,index,56.67,Fc
India,Gross Production Index Number (2014-2016 = 100),1994,index,55.23,Fc
India,Gross Production Index Number (2014-2016 = 100),1993,index,53.49,Fc
India,Gross Production Index Number (2014-2016 = 100),1992,index,51.98,Fc
India,Gross Production Index Number (2014-2016 = 100),1991,index,49.96,Fc
India,Gross Production Index Number (2014-2016 = 100),1990,index,49.12,Fc
India,Gross Production Index Number (2014-2016 = 100),1989,index,48.80,Fc
India,Gross Production Index Number (2014-2016 = 100),1988,index,45.86,Fc
India,Gross Production Index Number (2014-2016 = 100),1987,index,41.62,Fc
India,Gross Production Index Number (2014-2016 = 100),1986,index,41.95,Fc
India,Gross Production Index Number (2014-2016 = 100),1985,index,41.77,Fc
India,Gross Production Index Number (2014-2016 = 100),1984,index,40.86,Fc
India,Gross Production Index Number (2014-2016 = 100),1983,index,40.00,Fc
India,Gross Production Index Number (2014-2016 = 100),1982,index,35.91,Fc
India,Gross Production Index Number (2014-2016 = 100),1981,index,36.23,Fc
India,Gross Production Index Number (2014-2016 = 100),1980,index,33.75,Fc
India,Gross Production Index Number (2014-2016 = 100),1979,index,32.68,Fc
India,Gross Production Index Number (2014-2016 = 100),1978,index,34.36,Fc
India,Gross Production Index Number (2014-2016 = 100),1977,index,33.05,Fc
India,Gross Production Index Number (2014-2016 = 100),1976,index,30.64,Fc
India,Gross Production Index Number (2014-2016 = 100),1975,index,30.93,Fc
India,Gross Production Index Number (2014-2016 = 100),1974,index,28.04,Fc
India,Gross Production Index Number (2014-2016 = 100),1973,index,28.93,Fc
India,Gross Production Index Number (2014-2016 = 100),1972,index,26.92,Fc
India,Gross Production Index Number (2014-2016 = 100),1971,index,28.17,Fc
India,Gross Production Index Number (2014-2016 = 100),1970,index,27.57,Fc
India,Gross Production Index Number (2014-2016 = 100),1969,index,26.24,Fc
India,Gross Production Index Number (2014-2016 = 100),1968,index,25.41,Fc
India,Gross Production Index Number (2014-2016 = 100),1967,index,24.17,Fc
India,Gross Production Index Number (2014-2016 = 100),1966,index,22.66,Fc
India,Gross Production Index Number (2014-2016 = 100),1965,index,22.78,Fc
India,Gross Production Index Number (2014-2016 = 100),1964,index,23.91,Fc
India,Gross Production Index Number (2014-2016 = 100),1963,index,23.43,Fc
India,Gross Production Index Number (2014-2016 = 100),1962,index,22.87,Fc
India,Gross Production Index Number (2014-2016 = 100),1961,index,23.03,Fc