States,Decade,Value
Andaman & Nicobar Islands,2001 (Sum),76.7
Andaman & Nicobar Islands,1991 (Sum),67.9
Andaman & Nicobar Islands,1981 (Sum),51.6
Andhra Pradesh,2001 (Sum),80.1
Andhra Pradesh,1991 (Sum),55.1
Andhra Pradesh,1981 (Sum),25.9
Arunachal Pradesh,2001 (Sum),77.5
Arunachal Pradesh,1991 (Sum),70
Arunachal Pradesh,1981 (Sum),43.9
Assam,2001 (Sum),58.8
Assam,1991 (Sum),45.9
Assam,1981 (Sum),0
Bihar,2001 (Sum),86.6
Bihar,1991 (Sum),58.8
Bihar,1981 (Sum),37.6
Chandigarh,2001 (Sum),99.8
Chandigarh,1991 (Sum),97.7
Chandigarh,1981 (Sum),99.1
Chhattisgarh,2001 (Sum),70.5
Chhattisgarh,1991 (Sum),0
Chhattisgarh,1981 (Sum),0
Dadra & Nagar Haveli,2001 (Sum),77
Dadra & Nagar Haveli,1991 (Sum),45.6
Dadra & Nagar Haveli,1981 (Sum),19.4
Daman & Diu,2001 (Sum),96.3
Daman & Diu,1991 (Sum),71.4
Daman & Diu,1981 (Sum),54.5
Delhi,2001 (Sum),97.2
Delhi,1991 (Sum),95.8
Delhi,1981 (Sum),93
Goa,2001 (Sum),70.1
Goa,1991 (Sum),43.4
Goa,1981 (Sum),22.5
Gujarat,2001 (Sum),84.1
Gujarat,1991 (Sum),69.8
Gujarat,1981 (Sum),52.4
Haryana,2001 (Sum),86.1
Haryana,1991 (Sum),74.3
Haryana,1981 (Sum),55.1
Himachal Pradesh,2001 (Sum),88.6
Himachal Pradesh,1991 (Sum),77.3
Himachal Pradesh,1981 (Sum),44.5
Jammu & Kashmir,2001 (Sum),65.2
Jammu & Kashmir,1991 (Sum),0
Jammu & Kashmir,1981 (Sum),40.3
Jharkhand,2001 (Sum),42.6
Jharkhand,1991 (Sum),0
Jharkhand,1981 (Sum),0
Karnataka,2001 (Sum),84.6
Karnataka,1991 (Sum),71.7
Karnataka,1981 (Sum),33.9
Kerala,2001 (Sum),23.4
Kerala,1991 (Sum),18.9
Kerala,1981 (Sum),12.2
Lakshadweep,2001 (Sum),4.6
Lakshadweep,1991 (Sum),11.9
Lakshadweep,1981 (Sum),2.2
Madhya Pradesh,2001 (Sum),68.4
Madhya Pradesh,1991 (Sum),53.4
Madhya Pradesh,1981 (Sum),20.2
Maharashtra,2001 (Sum),79.8
Maharashtra,1991 (Sum),68.5
Maharashtra,1981 (Sum),42.3
Manipur,2001 (Sum),37
Manipur,1991 (Sum),38.7
Manipur,1981 (Sum),19.5
Meghalaya,2001 (Sum),39
Meghalaya,1991 (Sum),36.2
Meghalaya,1981 (Sum),25.1
Mizoram,2001 (Sum),36
Mizoram,1991 (Sum),16.2
Mizoram,1981 (Sum),4.9
Nagaland,2001 (Sum),46.5
Nagaland,1991 (Sum),53.4
Nagaland,1981 (Sum),45.6
Orissa,2001 (Sum),64.2
Orissa,1991 (Sum),39.1
Orissa,1981 (Sum),14.6
Pondicherry,2001 (Sum),95.9
Pondicherry,1991 (Sum),88.8
Pondicherry,1981 (Sum),80.6
Punjab,2001 (Sum),97.6
Punjab,1991 (Sum),92.7
Punjab,1981 (Sum),84.6
Rajasthan,2001 (Sum),68.2
Rajasthan,1991 (Sum),59
Rajasthan,1981 (Sum),27.1
Sikkim,2001 (Sum),70.7
Sikkim,1991 (Sum),73.1
Sikkim,1981 (Sum),30.3
Tamil Nadu,2001 (Sum),85.6
Tamil Nadu,1991 (Sum),67.4
Tamil Nadu,1981 (Sum),43.1
Tripura,2001 (Sum),52.5
Tripura,1991 (Sum),37.2
Tripura,1981 (Sum),27.3
Uttar Pradesh,2001 (Sum),87.8
Uttar Pradesh,1991 (Sum),62.2
Uttar Pradesh,1981 (Sum),33.8
Uttarakhand,2001 (Sum),86.7
Uttarakhand,1991 (Sum),0
Uttarakhand,1981 (Sum),0
West Bengal,2001 (Sum),88.5
West Bengal,1991 (Sum),82
West Bengal,1981 (Sum),69.7